date,title,comments
2023-06-21,Noivas em Guerra ,retorno à TV Globo; ex-SBT
2023-06-22,Portal dos Guerreiros,
2023-06-23,Pets: A Vida Secreta dos Bichos 2 ,inédito em TV aberta
2023-06-26,Um Senhor Estagiário,
2023-06-27,Não Houve Exibição - Convocação da Seleção Feminina de Futebol para a Copa do Mundo,
2023-06-28,"Com Amor, Simon",
2023-06-29,Tô Ryca,
2023-06-30, Viagem 2: A Ilha Misteriosa ,término da exibição após Chocolate com Pimenta
2023-07-03,Querido John ,início da exibição após Mulheres de Areia
2023-07-04,A Odisseia dos Tontos ,inédito em TV aberta
2023-07-05,A Fabulosa Gilly Hopkins,
2023-07-06,Meu Malvado Favorito 2,
2023-07-07,Max: O Cão Herói,
2023-07-10,O Diário da Princesa 2,
2023-07-11,A Estranha Vida de Timothy Green,
2023-07-12,Trolls,
2023-07-13,Ramona e Beezus,
2023-07-14,"Meu Amigo, O Dragão ",2016
2023-07-17,Christopher Robin: Um Reencontro Inesquecível,
2023-07-18,A Última Música,
2023-07-19,Vicky e a Musa ,três primeiros episódios da série original Globoplay
2023-07-20,Turma da Mônica: Laços,
2023-07-21,A Era do Gelo 2 ,inédito na TV Globo; ex-RecordTV
2023-07-24,Falando Grego,
2023-07-25,Mentes Sombrias,
2023-07-26,A Aposentadoria ,inédito na TV Aberta
2023-07-27,,
2023-07-28,,
2023-07-31,,
2022-01-03,Os Smurfs 2 ,início da temporada da Sessão da Tarde de Férias
2022-01-04,Quando em Roma,
2022-01-05,A Fabulosa Gilly Hopkins,
2022-01-06,Mamãe Saiu de Férias,
2022-01-07,É Fada,
2022-01-10,Megamente,
2022-01-11,Quero Ficar com Polly,
2022-01-12,A Ressurreição de Gavin Stone,
2022-01-13,O Medalhão,
2022-01-14,Bilhete de Loteria,
2022-01-17,Kung Fu Panda 2,
2022-01-18,Gente Grande,
2022-01-19,Decisões Extremas,
2022-01-20,Patrick,
2022-01-21,"Ela Disse, Ele Disse  ",2019
2022-01-24,Procurando Nemo,
2022-01-25,Falando Grego ,retorno à TV Globo; ex-Band
2022-01-26,Uma Razão Para Recomeçar ,exceto para o RS - Vale a Pena Ver de Novo e transmissão do Campeonato Gaúcho: Juventude x Internacional
2022-01-27,Um Presente Para Helen,
2022-01-28,Crô em Família,
2022-01-31,Os Incríveis ,término da temporada da Sessão da Tarde de Férias
2022-02-01,Questão de Tempo,
2022-02-02,Sob o Sol da Toscana ,exceto para o RS - Vale a Pena Ver de Novo e transmissão do Campeonato Gaúcho: Grêmio x São José
2022-02-03,Hitch: Conselheiro Amoroso,
2022-02-04,Pixels,
2022-02-07,Ratatouille,
2022-02-08,Simplesmente Complicado,
2022-02-09,Não Houve Exibição - Supercopa do Brasil de Futebol Feminino: Flamengo x Grêmio,
2022-02-10,Em Meus Sonhos,
2022-02-11,Lanterna Verde,
2022-02-14,Como Treinar o Seu Dragão,
2022-02-15,A Vingança das Damas de Honra,
2022-02-16,Pegando Fogo ,inédito em TV aberta / exceto para o RJ - RJ2 Especial: Chuvas em Petrópolis e a exibição mais tarde da Edição Especial de O Cravo e a Rosa
2022-02-17,O Terno de 2 Bilhões de Dólares,
2022-02-18,Uma Aventura e Tanto,
2022-02-21,Quatro Vidas de um Cachorro,
2022-02-22,O Bom Filho à Casa Torna,
2022-02-23,Noites de Tormenta,
2022-02-24,Paixão de Aluguel,
2022-02-25,O Sétimo Filho,
