date,title,comments
2016-06-01,2 Filhos De Francisco,
2016-06-02,A Família Da Noiva,
2016-06-03,A Fera,
2016-06-06,A Feiticeira,
2016-06-07,Sempre Ao Seu Lado,
2016-06-08,Um Beijo Inesquecível ,inédito em TV aberta
2016-06-09,Não Houve Exibição - Grand Prix de Vôlei Feminino: Brasil x Itália,
2016-06-10,Não Houve Exibição - Grand Prix de Vôlei Feminino: Brasil x Japão,
2016-06-13,Um Grande Garoto,
2016-06-14,O Namorado Da Minha Namorada,
2016-06-15,Nunca Fui Beijada,
2016-06-16,Brigada 49,
2016-06-17,Não Houve Exibição - Liga Mundial de Vôlei Masculino: Brasil x Argentina,
2016-06-20,Do Outro Lado Da Linha,
2016-06-21,Hitch: Conselheiro Amoroso,
2016-06-22,As Férias Da Minha Vida,
2016-06-23,A Creche Do Papai,
2016-06-24,O Zelador Animal,
2016-06-27,Cada Um Tem A Gêmea Que Merece,
2016-06-28,Mudança De Hábito,
2016-06-29,P.S. Eu Te Amo,
2016-06-30,Uma Boa Ação,
2016-07-01,Dança Comigo?,
2016-07-04,As Crônicas De Spiderwick,
2016-07-05,"Espelho, Espelho Meu",
2016-07-06,Não Houve Exibição - Eurocopa: Portugal x País de Gales,
2016-07-07,Não Houve Exibição - Eurocopa: Alemanha x França,
2016-07-08,Pequenos Espiões 2: A Ilha Dos Sonhos Perdidos,
2016-07-11,Astro Boy,
2016-07-12,Hanni & Nanni 2,
2016-07-13,Pequenos Invasores,
2016-07-14,Ducobu 2,
2016-07-15,Encantada,
2016-07-18,Diário De Um Banana 2: Rodrick É O Cara,
2016-07-19,Na Batida Do Coração,
2016-07-20,O Diário Da Princesa,
2016-07-21,Karatê Kid 4: A Nova Aventura,
2016-07-22,Super Escola De Heróis,
2016-07-25,Na Trilha Da Fama,
2016-07-26,Garoto-Formiga,
2016-07-27,Castelos De Gelo,
2016-07-28,Inimigos De Infância,
2016-07-29,Madagascar 2,
2016-08-01,Vitórias De Uma Vida | Monte Carlo ,somente para as afiliadas da Globo / estreia da Sessão da Tarde alternativa
2016-08-02,Gol! | Cãestronautas ,somente para as afiliadas da Globo
2016-08-03,Não Houve Exibição - Olimpíadas Rio 2016,
2016-08-04,Não Houve Exibição - Olimpíadas Rio 2016,
2016-08-08,Não Houve Exibição - Olimpíadas Rio 2016,
2016-08-09,Não Houve Exibição - Olimpíadas Rio 2016,
2016-08-10,Não Houve Exibição - Olimpíadas Rio 2016,
2016-08-11,Não Houve Exibição - Olimpíadas Rio 2016,
2016-08-12,Não Houve Exibição - Olimpíadas Rio 2016,
2016-08-15,Não Houve Exibição - Olimpíadas Rio 2016,
2016-08-16,Não Houve Exibição - Olimpíadas Rio 2016,
2016-08-17,Não Houve Exibição - Olimpíadas Rio 2016 | Planeta 51 ,somente para as regiões Norte e Nordeste
2016-08-18,Não Houve Exibição - Olimpíadas Rio 2016,
2016-08-19,Não Houve Exibição - Olimpíadas Rio 2016,
2016-08-22,A Estranha Vida De Timothy Green ,inédito em TV aberta
2016-08-23,Vovó...Zona 2 | Zathura: Uma Aventura Espacial ,somente para as afiliadas da Globo
2016-08-24,Amizade Inesperada | Diário de um Banana 3: Dias de Cão ,inédito em TV aberta / somente para as afiliadas da Globo
2016-08-25,Voando Alto | Vira-Lata ,somente para as afiliadas da Globo
2016-08-26,Monstros VS Alienígenas,
2016-08-29,O Fada Do Dente | As Aventuras De Sammy ,somente para as afiliadas da Globo
2016-08-30,Correio Do Amor | Projeto Jensen ,somente para as afiliadas da Globo
2016-08-31,"Flashdance, Em Ritmo De Embalo",
2016-09-01,Flores De Aço ,2012
2016-09-02,Alvin E Os Esquilos 3,
2016-09-05,Encontro De Amor | Robosapien: O Meu Melhor Amigo ,somente para as afiliadas da Globo
2016-09-06,Além Da Sala De Aula | Radio Rebel ,somente para as afiliadas da Globo
2016-09-07,Quarteto Fantástico ,2005
2016-09-08,Doce Lar | Dr. Dolittle 5 ,somente para as afiliadas da Globo
2016-09-09,Se Eu Fosse Você 2 | A Lady E O Lobo: O Bicho Tá Solto ,somente para as afiliadas da Globo
2016-09-12,O Diário De Tati | Skylar: A Garota Destemida ,somente para as afiliadas da Globo
2016-09-13,O Sentido Do Amor | Perdido Pra Cachorro 3 ,somente para as afiliadas da Globo
2016-09-14,Minha Mãe Quer Que Eu Case | H20: Meninas Sereias ,somente para as afiliadas da Globo
2016-09-15,Lições Para Toda A Vida | Flicka 3 ,somente para as afiliadas da Globo
2016-09-16,As Viagens De Gulliver,
2016-a -19,09 - Não Houve Exibição - Vale A Pena Ver De Novo: Cheias De Charme + Anjo Mau ,1997
2016-09-26,Noivas Em Guerra | Cupido: A Magia Do Amor ,somente para as afiliadas da Globo
2016-09-27,Jogo Da Vida | A Menina E O Porquinho  ,2006
2016-09-28,Como Agarrar Meu Ex-Namorado | Best Player: Guerreiros Virtuais ,somente para as afiliadas da Globo
2016-09-29,Meninas Malvadas | Um Ratinho Encrenqueiro ,somente para as afiliadas da Globo
2016-09-30,Esposa De Mentirinha | MIB: Homens De Preto ,somente para as afiliadas da Globo
2016-10-03,Um Bom Partido | Os Sem-Floresta ,somente para as afiliadas da Globo
2016-10-04,O Menino da Porteira | Fantasmas A Bordo ,somente para as afiliadas da Globo
2016-10-05,A Herança de Mr. Deeds | SeeFood: Um Peixe Fora D'Água ,somente para as afiliadas da Globo
2016-10-06,Tudo Que Uma Garota Quer | A Herdeira Da Máfia ,somente para as afiliadas da Globo
2016-10-07,Uma Família em Apuros | A Gangue Zip Zap ,somente para as afiliadas da Globo
2016-10-10,Recém-Casados,
2016-10-11,Táxi,
2016-10-12,Gato de Botas,
2016-10-13,Maluca Paixão,
2016-10-14,Tá Todo Mundo Louco,
2016-10-17,O Amor é Cego,
2016-10-18,A Super Agente,
2016-10-19,Loucuras na Idade Média,
2016-10-20,Direito de Mãe,
2016-10-21,Sexta-Feira Muito Louca,
2016-10-24,O Diário de Uma Babá,
2016-10-25,Virada Radical,
2016-10-26,"Seis Dias, Sete Noites",
2016-10-27,Como Não Esquecer Essa Garota,
2016-10-28,"Vovó...Zona 3: Tal Pai, Tal Filho",
2016-10-31,A Feiticeira  | As Aventuras de Sharkboy e Lavagirl ,2005
2016-11-01,Um Amor Verdadeiro   | O Reino Gelado ,2014
2016-11-02,Madagascar 3: Os Procurados,
2016-11-03,Imagine Só | Zack & Cody: O Filme ,somente para as afiliadas da Globo
2016-11-04,Vencendo Desafios,
2016-11-07,Você De Novo,
2016-11-08,"Loucas Por Amor, Viciadas Em Dinheiro | Piratas Pirados! ",somente para as afiliadas da Globo
2016-11-09,Não Houve Exibição - Reapresentação Do Último Capítulo De Haja Coração,
2016-11-10,Resgate Abaixo De Zero | O Pequeno Stuart Little ,somente para as afiliadas da Globo
2016-11-11,"Grande Menina, Pequena Mulher | Robôs ",somente para as afiliadas da Globo
2016-11-14,Volta Ao Mundo Em 80 Dias: Uma Aposta Muito Louca,
2016-11-15,Ratatouille,
2016-11-16,Corina: Uma Babá Perfeita | StarStruck: Meu Namorado É Uma Superestrela ,somente para as afiliadas da Globo
2016-11-17,Soul Surfer: Coragem De Viver | As Aventuras Dos 7 Anões ,somente para as afiliadas da Globo
2016-11-18,Super-Herói: O Filme | O Dragão Dourado ,somente para as afiliadas da Globo
2016-11-21,Um Amor De Estimação | Arthur E Os Minimoys ,somente para as afiliadas da Globo
2016-11-22,Duas Vidas | Perdido Pra Cachorro 2 ,inédito em TV aberta / somente para as afiliadas da Globo
2016-11-23,Uma Folga Pra Mamãe | O Bicho Vai Pegar 3 ,somente para as afiliadas da Globo
2016-11-24,A Inveja Mata | Bee Movie: A História De Uma Abelha ,somente para as afiliadas da Globo
2016-11-25,O Auto Da Compadecida | O Castelo Do Medo ,somente para as afiliadas da Globo
2016-11-28,A Filha Do Presidente | Os Flintstones: O Filme ,somente para as afiliadas da Globo
2016-11-29,Querido John,
2016-11-30,À Prova De Fogo | Shiloh 3 ,somente para as afiliadas da Globo
2016-12-01,Amor Plus Size | O Mar Não Está Pra Peixe ,somente para as afiliadas da Globo
2016-12-02,Todo Poderoso,
2016-12-05,Monte Carlo | Soltando Os Cachorros ,somente para as afiliadas da Globo
2016-12-06,Ondas Da Vida | O Espanta Tubarões ,somente para as afiliadas da Globo
2016-12-07,Coração De Cavaleiro | Um Geek Encantador ,somente para as afiliadas da Globo
2016-12-08,Uma Irmã Na Minha Vida | Meninas Malvadas 2 ,somente para as afiliadas da Globo
2016-12-09,Uma Noite No Museu | Skyrunners ,somente para as afiliadas da Globo
2016-12-12,Uma Manhã Gloriosa | Outback: Uma Galera Animal ,somente para as afiliadas da Globo
2016-12-13,Um Tira No Jardim De Infância | Um Hotel Bom Pra Cachorro ,somente para as afiliadas da Globo
2016-12-14,A Vingança Das Damas De Honra | Spirit: O Corcel Indomável ,somente para as afiliadas da Globo
2016-12-15,"Meu Pai, Meu Herói | Hanni & Nanni ",somente para as afiliadas da Globo
2016-12-16,Os Smurfs,
2016-12-19,Polo Norte ,inédito em TV aberta
2016-12-20,Pequenos Espiões 4,
2016-12-21,A Origem Dos Guardiões,
2016-12-22,Menores Desacompanhados,
2016-12-23,Como Treinar O Seu Dragão,
2016-12-26,Homem De Ferro  ,2008
2016-12-27,Aventura Dos Sete Mares,
2016-12-28,Por Água Abaixo,
2016-12-29,Alvin E Os Esquilos 2,
2016-12-30,Shrek Terceiro,
2015-01-01,Não Houve Exibição - Posse Da Presidente Dilma Rousseff,
2015-01-02,Coração De Cavaleiro,
2015-01-05,Marley & Eu,
2015-01-06,Nunca Fui Beijada,
2015-01-07,Wendy Wu: A Garota Kung Fu,
2015-01-08,Férias Da Família Johnson,
2015-01-09,Free Willy,
2015-01-12,Vovó...Zona,
2015-01-13,Ilha Da Aventura,
2015-01-14,O Fada Do Dente 2,
2015-01-15,O Bicho Vai Pegar 3,
2015-01-16,Radio Rebel,
2015-01-19,Eu E Meu Guarda-Chuva,
2015-01-20,Aromas E Sensibilidade,
2015-01-21,Dragonball Evolution,
2015-01-22,Hanni & Nanni,
2015-01-23,A Hora Da Virada,
2015-01-26,Escola De Rock,
2015-01-27,Operação: Salvem Os Golfinhos,
2015-01-28,Se Eu Fosse Você,
2015-01-29,Por Água Abaixo,
2015-01-30,O Castelo Do Medo ,término da temporada na Sessão da Tarde de Férias
2015-02-02,O Grande Dave,
2015-02-03,Meu Primeiro Amor: Parte 2,
2015-02-04,A Família Da Noiva,
2015-02-05,À Prova De Fogo,
2015-02-06,Doze É Demais 2,
2015-02-09,Top Gun: Ases Indomáveis,
2015-02-10,Vestida Para Casar,
2015-02-11,Sempre Ao Seu Lado,
2015-02-12,Mudança De Hábito 2: Mais Loucuras No Convento,
2015-02-13,A Filha Do Chefe,
2015-02-16,Segurança De Shopping,
2015-02-17,Não Houve Exibição - Carnaval Globeleza: Apuração SP | Entrando Numa Fria  ,somente para o RJ
2015-02-18,Não Houve Exibição - Carnaval Globeleza: Apuração RJ,
2015-02-19,Meu Pai Herói,
2015-02-20,A Conselheira Amorosa,
2015-02-23,As Férias Da Minha Vida,
2015-02-24,Recém-Chegada,
2015-02-25,Uma Prova De Amor,
2015-02-26,Um Caminho Para Dois,
2015-02-27,Minha Noiva De Mentira,
2015-03-02,O Menino Da Porteira,
2015-03-03,Tá Todo Mundo Louco,
2015-03-04,Os Três Desejos,
2015-03-05,Vida Roubada,
2015-03-06,"Grande Menina, Pequena Mulher",
2015-03-09,O Jogo Do Amor,
2015-03-10,Sempre Amigos,
2015-03-11,Não Houve Exibição - Liga dos Campeões: Chelsea x Paris Saint-Germain,
2015-03-12,Ace: Uma Questão De Justiça,
2015-03-13,Soul Surfer: Coragem De Viver,
2015-03-16,Hitch: Conselheiro Amoroso,
2015-03-17,Um Encontro Com Seu Ídolo!,
2015-03-18,Não Houve Exibição - Liga dos Campeões: Barcelona x Manchester City,
2015-03-19,Tentação Fatal,
2015-03-20,O Renascer De Uma Mulher,
2015-03-23,O Diário De Uma Babá,
2015-03-24,Minhas Seis Esposas,
2015-03-25,As 7 Regras Do Amor,
2015-03-26,Não Houve Exibição - Amistoso Da Seleção: Brasil X França,
2015-03-27,O Paizão,
2015-03-30,Cartas Para Deus,
2015-03-31,Ensinando A Viver,
2015-04-01,No Caminho Do Sucesso,
2015-04-02,O Aluno Ducobu,
2015-04-03,Operação Babá,
2015-04-06,E Se Fosse Verdade,
2015-04-07,Um Dia Especial,
2015-04-08,Jogo Da Vida,
2015-04-09,Olha Quem Está Falando,
2015-04-10,Acampamento Do Papai,
2015-04-13,E Se...Você Tivesse Uma Segunda Chance?,
2015-04-14,O Contador De Histórias,
2015-04-15,Não Houve Exibição - Liga dos Campeões: Paris Saint-Germain x Barcelona,
2015-04-16,Tudo Por Amor,
2015-04-17,O Casamento Dos Meus Sonhos,
2015-04-20,Uma Noite No Museu,
2015-04-21,Não Houve Exibição - Liga dos Campeões: Barcelona x Paris Saint-Germain,
2015-04-22,Ghost: Do Outro Lado Da Vida,
2015-04-23,O Amor Mora Ao Lado | Vovó...Zona 2 ,somente para o RJ
2015-04-24,Como Se Fosse A Primeira Vez,
2015-04-27,Mamãe Precisa Casar,
2015-04-28,À Primeira Vista,
2015-04-29,Mentira Perfeita,
2015-04-30,Três Ladrões E Um Bebê,
2015-05-01,Não Houve Exibição - Reapresentação do Show 50 Anos,
2015-05-04,A Última Música,
2015-05-05,Enquanto Você Dormia,
2015-05-06,Não Houve Exibição - Liga dos Campeões: Bacelona x Bayern de Munique,
2015-05-07,Atraídos Pelo Destino,
2015-05-08,"Espelho, Espelho Meu",
2015-05-11,A Proposta ,2009
2015-05-12,Não Houve Exibição - Liga dos Campeões: Bayern de Munique x Barcelona,
2015-05-13,"Flashdance, Em Ritmo De Embalo",
2015-05-14,O Céu De Outubro,
2015-05-15,Um Amor Perfeito,
2015-05-18,Família Por Acaso,
2015-05-19,A Força De Um Sonho,
2015-05-20,Pai Por Acaso,
2015-05-21,À Procura Da Felicidade,
2015-05-22,Doce Lar,
2015-05-25,O Melhor Amigo Da Noiva,
2015-05-26,Uma Escolha De Mãe,
2015-05-27,Duas Vidas,
2015-05-28,Jogada Certa,
2015-05-29,Não Houve Exibição - Liga Mundial de Vôlei Masculino: Brasil x Sérvia,
2015-06-01,Um Grande Garoto,
2015-06-02,O Diabo Veste Prada,
2015-06-03,O Amor De Um Pai,
2015-06-04,As Crônicas De Nárnia: Príncipe Caspian,
2015-06-05,Não Houve Exibição - Liga Mundial de Vôlei Masculino: Brasil x Austrália,
2015-06-08,Resgate Do Amor,
2015-06-09,Um Presente Especial,
2015-06-10,Doze É Demais,
2015-06-11,Aprendendo A Viver,
2015-06-12,Namorada De Aluguel,
2015-06-15,Voando Alto,
2015-06-16,Revivendo O Amor,
2015-06-17,Surpresa Em Dobro,
2015-06-18,Salvem Minha Filha!,
2015-06-19,O Auto Da Compadecida,
2015-06-22,Correio Do Amor,
2015-06-23,A Cura,
2015-06-24,Não Houve Exibição - Vídeo Show Especial: Morte De Cristiano Araújo,
2015-06-25,"Meu Pai, Meu Herói",
2015-06-26,Click,
2015-06-29,O Amor É Cego,
2015-06-30,Castelos De Gelo,
2015-07-01,Parada Inesperada,
2015-07-02,A Lenda Do Tesouro Perdido,
2015-07-03,Não Houve Exibição - Liga Mundial de Vôlei Masculino: Brasil x Itália,
2015-07-06,A Lenda De Longwood ,início da temporada da Sessão da Tarde de Férias
2015-07-07,Uma Família De Fantasmas,
2015-07-08,Vencendo Desafios,
2015-07-09,Monstros VS Alienígenas,
2015-07-10,Marley & Eu 2: Filhote Encrenqueiro,
2015-07-13,O Dragão Dourado,
2015-07-14,Hanni & Nanni 2,
2015-07-15,Fantasmas A Bordo,
2015-07-16,Super-Herói: O Filme,
2015-07-17,Flicka 3  | Loucuras Na Idade Média ,inédito em TV aberta
2015-07-20,Garoto-Formiga 2,
2015-07-21,Ducobu 2,
2015-07-22,Meu Pé De Laranja Lima,
2015-07-23,Inimigos De Infância,
2015-07-24,Tá Chovendo Hambúrguer ,termino da temporada da Sessão da Tarde de Férias
2015-07-27,07/08 - Não Houve Exibição - Vale A Pena Ver De Novo: Caminho Das Índias + O Rei Do Gado,
2015-07-27,07/08 - Não Houve Exibição - Vale A Pena Ver De Novo: Caminho Das Índias + O Rei Do Gado,
2015-08-10,Esposa De Mentirinha,
2015-08-11,Querido John,
2015-08-12,Um Tira No Jardim De Infância,
2015-08-13,17 Outra Vez,
2015-08-14,Noivas Em Guerra,
2015-08-17,Doze É Demais 2,
2015-08-18,Porta Do Céu,
2015-08-19,Impacto Profundo,
2015-08-20,Decisões Extremas,
2015-08-21,Como Não Esquecer Essa Garota,
2015-08-24,"Loucas Por Amor, Viciadas Em Dinheiro",
2015-08-25,Sempre Ao Seu Lado,
2015-08-26,"Grande Menina, Pequena Mulher",
2015-08-27,Só A Verdade Cura,
2015-08-28,Encontro De Amor,
2015-08-31,As Mil Palavras,
2015-09-01,Flores De Aço  ,2012
2015-09-02,Entrando Numa Fria,
2015-09-03,À Prova De Fogo,
2015-09-04,O Terno De 2 Bilhões De Dólares,
2015-09-07,Rango,
2015-09-08,Meu Namorado Do Futuro,
2015-09-09,A Lagoa Azul,
2015-09-10,Dança Comigo?,
2015-09-11,Uma Boa Ação,
2015-09-14,Uma Prova De Amor,
2015-09-15,De Repente 30,
2015-09-16,Meu Primeiro Amor,
2015-09-17,Um Presente Para Toda Vida,
2015-09-18,A Família Da Noiva,
2015-09-21,Quando Em Roma,
2015-09-22,Johnny,
2015-09-23,Páginas Do Amor,
2015-09-24,Mudança De Hábito,
2015-09-25,Além Da Sala De Aula,
2015-09-28,O Candidato  ,2013
2015-09-29,Voltando A Sonhar,
2015-09-30,Entrando Numa Fria Maior Ainda Com A Família,
2015-10-01,Lição De Vida,
2015-10-02,Meu Pai Herói,
2015-10-05,Do Outro Lado Da Linha,
2015-10-06,Um Caminho Para Dois,
2015-10-07,O Renascer De Uma Mulher,
2015-10-08,Vida Roubada,
2015-10-09,Missão Quase Impossível,
2015-10-12,Madagascar 2,
2015-10-13,Falando Grego,
2015-10-14,P.S. Eu Te Amo,
2015-10-15,Shrek 2,
2015-10-16,Operação Babá,
2015-10-19,Como Se Fosse A Primeira Vez,
2015-10-20,Sonhadora,
2015-10-21,Amor Às Escuras,
2015-10-22,Edward Mãos De Tesoura,
2015-10-23,O Zelador Animal,
2015-10-26,Como Agarrar Meu Ex-Namorado,
2015-10-27,As Férias Da Minha Vida,
2015-10-28,Jimmy: Um Elo De Amor,
2015-10-29,O Fada Do Dente,
2015-10-30,Recém-Casados,
2015-11-02,Uma Noite No Museu,
2015-11-03,As 7 Regras Do Amor,
2015-11-04,Cada Um Tem A Gêmea Que Merece,
2015-11-05,Força De Viver,
2015-11-06,A Fera,
2015-11-09,Os Pinguins Do Papai,
2015-11-10,O Diário De Uma Babá,
2015-11-11,O Menino Da Porteira,
2015-11-12,Uma Irmã Em Minha Vida,
2015-11-13,Vovó...Zona,
2015-11-16,Compramos Um Zoológico,
2015-11-17,Seu Desejo É Uma Ordem,
2015-11-18,Aromas E Sensibilidade,
2015-11-19,Lagoa Azul: O Despertar,
2015-11-20,Bater Ou Correr,
2015-11-23,Hitch: Conselheiro Amoroso,
2015-11-24,Quando O Amor Acontece,
2015-11-25,Amor Plus Size,
2015-11-26,Aprendendo A Amar,
2015-11-27,O Casamento Dos Meus Sonhos,
2015-11-30,O Mentiroso | O Bicho Vai Pegar 3 ,somente para DF
2015-12-01,Meu Namorado Perfeito,
2015-12-02,"Corina, Uma Babá Perfeita",
2015-12-03,Soul Surfer: Coragem De Viver,
2015-12-04,A Inveja Mata,
2015-12-07,O Casamento De Romeu E Julieta,
2015-12-08,Sempre Amigos | O Bicho Vai Pegar 2 ,somente para PE
2015-12-09,O Amor É Cego,
2015-12-10,Coração De Campeão,
2015-12-11,O Paizão,
2015-12-14,Um Bom Partido,
2015-12-15,Tudo O Que Uma Garota Quer,
2015-12-16,Um Amor De Estimação,
2015-12-17,A Grande Família: O Filme,
2015-12-18,Tá Chovendo Hambúrguer,
2015-12-21,O Sentido Da Vida,
2015-12-22,Procura-se Um Papai Noel Desesperadamente,
2015-12-23,Até Que A Sorte Nos Separe,
2015-12-24,Um Natal Brilhante,
2015-12-25,Monstros VS Alienígenas,
2015-12-28,Kung Fu Panda,
2015-12-29,Meninas Malvadas,
2015-12-30,Quarteto Fantástico ,2005
2015-12-31,Segurança De Shopping,
2014-01-01,Garfield 2,
2014-01-02,Minha Babá É Uma Vampira: O Filme,
2014-01-03,A Creche Do Papai,
2014-01-06,Click,
2014-01-07,Sonhadora,
2014-01-08,Pequenos Espiões 3D,
2014-01-09,Por Água Abaixo,
2014-01-10,Rádio Rebel ,inédito em TV aberta
2014-01-13,Bee Movie: A História De Uma Abelha,
2014-01-14,Eu E Meu Guarda-Chuva,
2014-01-15,Resgate De Uma Vida,
2014-01-16,Peter Pan ,2003
2014-01-17,Um Tira Muito Suspeito,
2014-01-20,Um Faz De Conta Que Acontece,
2014-01-21,Vovó...Zona 2,
2014-01-22,As Aventuras De Sammy ,inédito em TV aberta
2014-01-23,O Castelo Do Medo,
2014-01-24,Alaska: Uma Aventura Inacreditável,
2014-01-27,Mansão Mal-Assombrada,
2014-01-28,Tinker Bell E O Tesouro Perdido ,inédito em TV aberta
2014-01-29,Um Show De Verão,
2014-01-30,Wendy Wu: A Garota Kung Fu,
2014-01-31,MIB: Homens De Preto 2,
2014-02-03,Robôs,
2014-02-04,Entrando Numa Fria Maior Ainda,
2014-02-05,Sob A Mesma Lua,
2014-02-06,Minha Noiva De Mentira,
2014-02-07,"Flashdance, Em Ritmo De Embalo",
2014-02-10,O Melhor Amigo Da Noiva,
2014-02-11,A Verdadeira Família,
2014-02-12,Do Que As Mulheres Gostam,
2014-02-13,La Bamba,
2014-02-14,O Medalhão,
2014-02-17,Marley & Eu ,"em novo horário, após o Vídeo Show / inversão de horários com o Vale a Pena Ver de Novo em rede"
2014-02-18,Curtindo A Vida Adoidado,
2014-02-19,Chico Xavier,
2014-02-20,Missão Quase Impossível,
2014-02-21,Você De Novo,
2014-02-24,Karatê Kid: A Hora Da Verdade,
2014-02-25,"Loucas Por Amor, Viciadas Em Dinheiro",
2014-02-26,"Corina, Uma Babá Perfeita",
2014-02-27,Escola Da Vida,
2014-02-28,Sabrina Na Austrália,
2014-03-03,Não Houve Exibição - Tapete Vermelho Do Oscar,
2014-03-04,Não Houve Exibição - Carnaval Globeleza: Apuração SP | O Bicho Vai Pegar ,somente para o RJ
2014-03-05,Não Houve Exibição - Carnaval Globeleza: Apuração RJ,
2014-03-06,Uma Garota Encantada,
2014-03-07,Garoto-Formiga ,inédito em TV aberta
2014-03-10,De Volta À Lagoa Azul,
2014-03-11,Decisões Extremas,
2014-03-12,Top Gun: Ases Indomáveis,
2014-03-13,As Aparências Enganam,
2014-03-14,Operação: Salvem Os Golfinhos,
2014-03-17,Férias Da Família Johnson,
2014-03-18,Voltando A Sonhar,
2014-03-19,Noiva Em Fuga,
2014-03-20,Aprendendo A Amar,
2014-03-21,Pai Por Acaso,
2014-03-24,Quando O Amor Acontece,
2014-03-25,O Renascer De Uma Mulher,
2014-03-26,A Cura ,1995
2014-03-27,Brigada 49,
2014-03-28,Porta Do Céu,
2014-03-31,Surpresa Em Dobro,
2014-04-01,Não Houve Exibição - Liga dos Campeões: Barcelona x Atlético de Madrid,
2014-04-02,Splash: Uma Sereia Em Minha Vida,
2014-04-03,No Caminho Do Sucesso ,inédito em TV aberta
2014-04-04,De Volta Para Casa  ,2012
2014-04-07,Imagine Só,
2014-04-08,Sempre Ao Seu Lado,
2014-04-09,Não Houve Exibição - Liga dos Campeões: Atlético de Madrid x Barcelona,
2014-04-10,Lado A Lado ,1998
2014-04-11,Três Solteirões E Um Bebê,
2014-04-14,Sorte No Amor ,2006
2014-04-15,À Primeira Vista,
2014-04-16,Atraídos Pelo Destino,
2014-04-17,Neve Pra Cachorro,
2014-04-18,Kung Fu Panda,
2014-04-21,Wall-E,
2014-04-22,Namorada De Aluguel,
2014-04-23,Não Houve Exibição - Liga dos Campeões: Real Madrid x Bayern de Munique,
2014-04-24,Aromas E Sensibilidade,
2014-04-25,A Família Da Noiva,
2014-04-28,O Casamento Dos Meus Sonhos,
2014-04-29,Não Houve Exibição - Liga dos Campeões: Bayern de Munique x Real Madrid,
2014-04-30,Meu Pai Herói,
2014-05-01,O Bicho Vai Pegar 3,
2014-05-02,Herbie: Meu Fusca Turbinado,
2014-05-05,Tudo Que Uma Garota Quer,
2014-05-06,O Amor Acontece,
2014-05-07,Meu Primeiro Amor: Parte 2,
2014-05-08,Nas Profundezas Do Mar Sem Fim,
2014-05-09,Vovó...Zona,
2014-05-12,De Repente 30,
2014-05-13,Os Três Desejos,
2014-05-14,A Filha Do Presidente,
2014-05-15,Nunca Fui Beijada,
2014-05-16,Garfield: O Filme,
2014-05-19,Se Eu Fosse Você,
2014-05-20,À Prova De Fogo,
2014-05-21,Doze É Demais,
2014-05-22,Ilha Da Aventura,
2014-05-23,Não Houve Exibição - Liga Mundial de Vôlei Masculino: Brasil x Itália,
2014-05-26,Mudança De Hábito 2: Mais Loucuras No Convento,
2014-05-27,Evelyn: Uma História Verdadeira,
2014-05-28,Recém-Chegada,
2014-05-29,Não Houve Exibição - Liga Mundial de Vôlei Masculino: Brasil x Polônia,
2014-05-30,Não Houve Exibição - Liga Mundial de Vôlei Masculino: Brasil x Polônia,
2014-06-02,A Vingança Das Damas De Honra,
2014-06-03,Não Houve Exibição - Amistoso Da Seleção: Brasil x Panamá,
2014-06-04,Virada Radical,
2014-06-05,Três Ladrões E Um Bebê,
2014-06-06,Não Houve Exibição - Amistoso Da Seleção: Brasil x Sérvia,
2014-06-09,Vestida Para Casar,
2014-06-10,"Lancelot, O Primeiro Cavaleiro",
2014-06-11,Um Encontro Com Seu Ídolo!,
2014-06-12,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Brasil x Croácia,
2014-06-13,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Espanha x Holanda,
2014-06-16,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Irã x Nigéria,
2014-06-17,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Brasil x México,
2014-06-18,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Espanha x Chile,
2014-06-19,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Uruguai x Inglaterra,
2014-06-20,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Suíça x França,
2014-06-23,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Camarões x Brasil,
2014-06-24,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Japão x Colômbia,
2014-06-25,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Equador x França,
2014-06-26,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Argélia x Rússia,
2014-06-27,Peter Pan: De Volta À Terra Do Nunca,
2014-06-30,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Alemanha x Argélia,
2014-07-01,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Bélgica x Estados Unidos,
2014-07-02,Quarteto Fantástico,
2014-07-03,Robosapien: O Meu Melhor Amigo ,inédito em TV aberta
2014-07-04,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Brasil x Colômbia,
2014-07-07,Karatê Kid ,2010
2014-07-08,Não Houve Exibição - Copa Do Mundo FIFA Brasil 2014: Brasil x Alemanha,
2014-07-09,Monstros VS Alienígenas,
2014-07-10,Volta Ao Mundo Em 80 Dias: Uma Aposta Muito Louca,
2014-07-11,A Lenda Do Zorro,
2014-07-14,Jogada Certa,
