date,title,comments,id,english_title,release_date,vote_average
2022-08-19,Simplesmente Complicado,,22897,It's Complicated,2009-12-23,6.51
2022-08-18,A Vingança das Damas de Honra,,62592,Revenge of the Bridesmaids,2010-07-18,6.6
2022-08-10,A Sogra,,713801,A Sogra,1954-06-08,0.0
2022-08-26,"Fala Sério, Mãe!",,487491,"Fala Sério, Mãe!",2017-12-28,7.3
2022-08-29,Acampamento do Papai,,14144,Daddy Day Camp,2007-08-08,4.835
2022-08-31,Muito Bem Acompanhada,,6961,The Wedding Date,2005-02-04,6.797
2022-08-15,O Sétimo Filho,,68737,Seventh Son,2014-12-12,5.493
2022-08-17,Ratatouille,,2062,Ratatouille,2007-06-28,7.803
2022-08-30,Uma Razão Para Recomeçar,,444951,New Life,2016-10-28,6.8
2022-08-12,"Meu Pai, Meu Herói",,214087,The Finishers,2013-09-07,6.9
2022-08-24,Insubstituível,,375950,The Country Doctor,2016-03-23,6.198
2022-08-25,Os Incríveis,,668508,Os Incríveis Neste Mundo Louco,1967-06-26,0.0
2022-08-11,Questão de Tempo,,49060,Tempo,2003-06-17,4.5
2022-08-22,Malasartes e o Duelo com a Morte,,373579,Malasartes e o Duelo com a Morte,2017-08-10,6.411
2022-09-20,As Mil Palavras,,953764,As Mil Palavras de Giacomo Geremia,2022-03-13,0.0
2022-05-02,Os Pinguins de Madagascar,,270946,Penguins of Madagascar,2014-11-22,6.5
2022-09-19,O Bicho Vai Pegar 4,,382517,Open Season: Scared Silly,2015-12-18,5.92
2022-09-01,O Medalhão,,10610,The Medallion,2003-08-15,5.583
2022-09-02,É Fada,(reclassificado para 12 anos),409317,It's a Fairy!,2016-10-06,5.7
2022-09-28,Quando em Roma,,13477,When in Rome,2010-01-29,6.002
2022-10-04,Quatro Vidas de um Cachorro,,381289,A Dog's Purpose,2017-01-19,7.613
2022-10-06,Onde Nasce a Esperança,,243352,Where Hope Grows,2014-04-06,6.93
2022-09-07,R.I.P.D: Agentes do Além,,49524,R.I.P.D.,2013-07-18,5.816
2022-10-07,A Hora do Rush 2,,5175,Rush Hour 2,2001-08-03,6.699
2022-09-13,Madagascar 3: Os Procurados,,80321,Madagascar 3: Europe's Most Wanted,2012-06-06,6.601
2022-09-15,Tudo Que Quero,,338768,Please Stand By,2018-01-26,6.848
2022-09-16,Sai de Baixo: O Filme,,573660,Sai de Baixo: O Filme,2019-02-21,5.1
2022-09-09,Viagem Ao Centro Da Terra: O Filme,,88751,Journey to the Center of the Earth,2008-07-10,6.061
2022-09-06,Ensinando a Viver,,5126,Martian Child,2007-11-02,6.657
2022-09-14,O Que Esperar Quando Você Está Esperando,,76494,What to Expect When You're Expecting,2012-05-17,6.024
2022-09-26,Falando Grego,,23049,My Life in Ruins,2009-06-05,6.116
2022-09-29,Crô em Família,,544946,Crô em Família,2018-09-06,4.6
2022-10-03,O Diabo Veste Prada,(início da exibição após Chocolate com Pimenta),350,The Devil Wears Prada,2006-06-29,7.382
2022-06-29,Minions,(inédito na TV Globo; ex-RecordTV),211672,Minions,2015-06-17,6.393
2022-10-05,Sim Senhor,,10201,Yes Man,2008-12-09,6.657
2022-10-10,Nanny McPhee e as Lições Mágicas,,35019,Nanny McPhee and the Big Bang,2010-03-26,6.277
2022-10-12,Os Smurfs,,41513,The Smurfs,2011-07-29,5.765
2022-10-13,Uma Amizade Inesperada,,568994,Driveways,2020-12-17,6.977
2022-10-18,Um Amor à Altura,,366514,Up for Love,2016-05-04,6.015
2022-09-21,O Falcão Manteiga de Amendoim,,463257,The Peanut Butter Falcon,2019-08-09,7.408
2022-09-22,Linda de Morrer,,342238,Drop Dead Gorgeous,2015-08-20,5.359
2022-09-05,Trolls,,136799,Trolls,2016-10-13,6.673
2022-09-12,Gente Grande,,38365,Grown Ups,2010-06-24,6.357
2022-10-17,A Volta do Todo Poderoso,,2698,Evan Almighty,2007-06-09,5.547
2022-10-19,De Repente Pai,,146239,Delivery Man,2013-10-10,6.247
2022-10-20,Uma Aventura e Tanto,,470205,The Stray,2017-10-06,6.121
2022-09-30,Click,(término da exibição após O Cravo e a Rosa),9339,Click,2006-06-23,6.268
2022-10-14,Bilhete de Loteria,,1034337,The Lost Lotteries,2022-11-16,6.6
2022-10-28,Shrek,(retorno à TV Globo; ex-Band e SBT),808,Shrek,2001-05-18,7.726
2022-10-31,Uma Noite no Museu,,751741,Night at the Museum: Kahmunrah Rises Again,2022-12-09,6.74
2022-10-25,Que Haja Luz,,480881,Let There Be Light,2017-10-27,5.991
2022-10-26,O Melhor Amigo da Noiva,,10761,Made of Honor,2008-04-30,6.431
2022-10-24,Os Delírios de Consumo de Becky Bloom,,20048,Confessions of a Shopaholic,2009-02-05,6.44
2022-10-21,Como Se Fosse a Primeira Vez,,555790,As If It Were the First Time,2019-08-30,6.837
2022-10-27,A Morte e Vida de Charlie,,37950,Charlie St. Cloud,2010-07-30,6.941
2022-07-26,Christopher Robin: Um Reencontro Inesquecível,(inédito em TV aberta),420814,Christopher Robin,2018-08-02,7.334
2022-11-02,Kung Fu Panda 2,,49444,Kung Fu Panda 2,2011-05-25,6.957
2022-08-08,Meu Malvado Favorito 2,(inédito na TV Globo; ex-RecordTV),20352,Despicable Me,2010-07-08,7.225
2022-11-03,Snowden: Herói ou Traidor,,302401,Snowden,2016-09-15,7.099
2022-11-04,O Bom Filho à Casa Torna,,13490,Welcome Home Roscoe Jenkins,2008-02-08,6.0
2022-08-16,Quase Lendas,(inédito em TV Aberta),443585,Casi leyendas,2017-03-16,5.952
2022-11-08,De Repente 30,,10096,13 Going on 30,2004-04-13,6.723
2022-11-09,Uma Questão de Fé,,467433,A Question of Faith,2017-09-29,7.3
2022-08-23,A Minha Garota Para Sempre,(inédito em TV Aberta),417261,Forever My Girl,2018-01-26,7.597
2022-09-08,"Ela Disse, Ele Disse",(exibição às 16h),574547,"She Said, He Said",2019-10-10,7.2
2022-10-11,Max: O Cão Herói,(inédito em TV aberta),272878,Max,2015-06-26,7.166
2022-11-01,O Sol Também é uma Estrela,(inédito em TV aberta),508791,The Sun Is Also a Star,2019-05-16,7.0
2022-11-07,Jornada da Vida,(inédito em TV aberta),46623,Cimarron,1960-12-01,6.2
2022-07-19,O Pequeno Príncipe,,206467,The Little Prince's Rap Against The Wicked Souls,2000-08-31,0.0
2022-11-16,A Luta Por um Ideal,,82631,Won't Back Down,2012-09-28,6.1
2022-11-10,Depois da Terra,,7450,Titan A.E.,2000-06-16,6.581
2022-12-12,Megan Leavey,(exibição às 16h),424488,Megan Leavey,2017-06-09,7.282
2022-11-18,Correndo Atrás,(inédito em TV aberta / pausa temporária da sessão),499230,Running After,2018-06-07,4.0
2022-04-29,"Meu Amigo, O Dragão",,11114,Pete's Dragon,1977-11-03,6.357
2022-12-19,A Era do Gelo: O Big Bang,,278154,Ice Age: Collision Course,2016-06-23,6.063
2022-12-22,Surpresas do Amor,,15363,Something New,2006-01-29,6.5
2022-12-08,Um Santo Vizinho,,239563,St. Vincent,2014-10-09,7.088
2022-11-17,Encantada,,204678,Enchanted Isles,1965-03-15,6.7
2022-12-20,Tudo em Família,,41852,A Family Thing,1996-03-29,6.4
2022-12-07,Patrick,,199578,Patrick,2013-10-15,5.0
2022-12-26,,,,,,
2022-12-27,Nossa Vida com Cães,,477510,Dog Days,2018-08-10,6.75
2022-12-28,Idas e Vindas do Amor,,32856,Valentine's Day,2010-02-10,5.901
2022-12-30,Noite de Ano Novo,,62838,New Year's Eve,2011-12-08,5.88
2021-01-01,Percy Jackson e o Ladrão de Raios,,32657,Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,6.207
2021-01-04,Pai em Dose Dupla,,274167,Daddy's Home,2015-12-25,6.263
