date,title,comments,release_year
2018-09-11,Ondas da Vida,,
2018-09-12,A Conselheira Amorosa,,
2018-09-13,O Filho Eterno,,
2018-09-14,Sexta-Feira Muito Louca,,
2018-09-17,Treinando o Papai,,
2018-09-18,Salvem Minha Filha!,,
2018-09-19,Uma Boa Ação,,
2018-09-20,De Repente Grávida, (Sessão da Tarde Especial / somente para o RS / primeiro filme da sessão com o selo +14),
2018-09-21,Entrando Numa Fria Maior Ainda Com a Família,,
2018-09-24,A Sogra,"(inédito na Globo, ex-SBT)",
2018-09-26,Uma Lição de Mãe,,
2018-09-27,Sem Reservas,,
2018-09-28,Segurança de Shopping,,
2018-10-01,Querido Companheiro,(inédito em TV aberta),
2018-10-02,Meu Namorado Perfeito,,
2018-10-03,Táxi,,2004
2018-10-04,Voltando a Sonhar,,
2018-10-05,Click,,
2018-10-08,Um Cachorro Para Dois,,
2018-10-09,Que Horas Ela Volta?,,
2018-10-10,Do Outro Lado da Linha,,
2018-10-11,O Terno de 2 Bilhões de Dólares,,
2018-10-15,Detetives do Prédio Azul (D.P.A.): O Filme,(inédito em TV aberta),
2018-10-17,Voando Para o Amor,,
2018-10-18,Mamãe: Operação Balada,,
2018-10-19,Lara Croft: Tomb Raider,,
2018-10-22,Jogada Certa,,
2018-10-23,Mamãe Precisa Casar,,
2018-10-24,Uma Prova de Amor,,
2018-10-25,Aromas e Sensibilidade,,
2018-10-26,Tio Papi,,
2018-10-29,Dança Comigo?,,
2018-10-30,De Onde Eu Te Vejo,(inédito em TV aberta),
2018-10-31,Flores de Aço,,2012
2018-11-01,X-Men: O Filme,(reclassificado para 12 anos),
2018-11-02,O Último Mestre do Ar,,
2018-11-05,Encontro de Amor,,
2018-11-06,À Procura da Felicidade,,
2018-11-07,Um Amor Verdadeiro,,2014
2018-11-08,Vitórias de uma Vida,,
2018-11-09,Compramos um Zoológico,,
2018-11-12,Antes de Partir,,
2018-11-13,Um Amor à Altura,(inédito em TV aberta),
2018-11-14,Uma Folga Para Mamãe,,
2018-11-15,Shrek Para Sempre,,
2018-11-16,"Alexandre e o Dia Terrível, Horrível, Espantoso e Horroroso",,
2018-11-19,Eu Sou o Número Quatro,,
2018-11-20,Por Água Abaixo,,
2018-11-21,Uma Escolha de Mãe,,
2018-11-22,Pare o Casamento!,,
2018-11-23,De Repente 30,,
2018-11-26,Meu Passado Me Condena: O Filme,,
2018-11-27,Todo Poderoso,,
2018-11-28,A Luta Por Um Ideal,,2012
2018-11-29,Noiva em Fuga,,
2018-11-30,Meninas Malvadas,(reclassificado para 12 anos),
2018-12-03,O Melhor Amigo da Noiva,,
2018-12-04,Lição de Vida,,
2018-12-05,O Amor Não Tira Férias,"(inédito na Globo, ex-RecordTV)",
2018-12-06,Apenas Amigos,,
2018-12-07,Roubo nas Alturas,"(inédito na Globo, ex-RecordTV)",
2018-12-10,MIB: Homens de Preto 3,"(exibição excepcionalmente mais cedo, após o Jornal Hoje)",
2018-12-11,Quando os Anjos Cantam,,
2018-12-12,Uma Garota Encantada,,
2018-12-13,Aventura dos Sete Mares,,
2018-12-14,O Reino Proibido,,
2018-12-17,Como Treinar o Seu Dragão,(início da temporada na Sessão da Tarde de Férias | exceto para o RJ - RJ2 Especial: Incêndio em Manguinhos),
2018-12-18,Garoto-Formiga 2,,
2018-12-19,O Bicho Vai Pegar 2,,
2018-12-20,As Férias do Pequeno Nicolau,,
2018-12-21,Alvin e os Esquilos 2,,
2018-12-24,Ratatouille,,
2018-12-25,A Bússola de Ouro,"(exibição excepcionalmente mais cedo, após o Jornal Hoje)",
2018-12-26,Os Smurfs 2,,
2018-12-27,Descendentes,,
2018-12-28,Shrek 2,,
2018-12-31,Hotel Transilvânia,,
2017-01-02,Diário de um Banana 3: Dias de Cão,,
2017-01-03,Skylar: A Garota Destemida,,
2017-01-04,Planeta 51,,
2017-01-05,Rádio Rebel,,
2017-01-06,Lara Croft: Tomb Raider,,
2017-01-09,Eragon,,
2017-01-10,A Menina E O Porquinho,,2006
2017-01-11,Garoto-Formiga 2,,
2017-01-12,Os Sem-Floresta,,
2017-01-13,As Crônicas De Nárnia: Principe Caspian,,
2017-01-16,Transformers,,
2017-01-17,A Espada De D'Artagnan,(inédito em TV aberta),
2017-01-18,Matilda,,
2017-01-19,Zathura: Uma Aventura Espacial,,
2017-01-20,Eu Sou O Número Quatro,,
2017-01-23,Entrando Numa Fria Maior Ainda,,
2017-01-24,As Crônicas De Spiderwick,,
2017-01-25,Alvin E Os Esquilos,,
2017-01-26,O Fada Do Dente 2,,
2017-01-27,MIB: Homens De Preto 3,,
2017-01-30,"Meu Nome É Taylor, Drilbit Taylor",,
2017-01-31,O Besouro Verde,,
2017-02-01,O Incrível Livro De Hipnotismo De Molly,,
2017-02-02,A Fera,,
2017-02-03,O Terno De 2 Bilhões De Dólares,,
2017-02-06,Operação Babá,,
2017-02-07,Mara E O Senhor Do Fogo,,
2017-02-08,Meu Tio Matou Um Cara,,
2017-02-09,"Espelho, Espelho Meu",,
2017-02-10,Os Pinguins Do Papai,,
2017-02-13,Marley &amp; Eu,,
2017-02-14,2 Filhos De Francisco,,
2017-02-15,Um Príncipe Em Minha Vida,,
2017-02-16,Edward Mãos De Tesoura, (somente para as afiliadas da Globo),
2017-02-17,Cada Um Tem A Gêmea Que Merece, (somente para as afiliadas da Globo),
2017-02-20,De Repente 30,,
2017-02-21,Recém-Chegada,,
2017-02-22,Uma Lição De Mãe,,
2017-02-23,Você Não Pode Beijar A Noiva, (somente para as afiliadas da Globo),
2017-02-24,Um Faz De Conta Que Acontece,,
2017-03-02,Encantada,,
2017-03-03,Click,,
2017-03-06,Jogada Certa, (somente para as afiliadas da Globo),
2017-03-07,Encontro De Amor,(somente para as afiliadas da Globo),
2017-03-09,A Lagoa Azul, (somente para o PE),
2017-03-10,Segurança De Shopping, (somente para as afiliadas da Globo),
2017-03-13,Licença Para Casar,"(inédito na Globo, ex-SBT)",
2017-03-14,Voando Alto, (somente para as afiliadas da Globo),
2017-03-15,O Medalhão,,
2017-03-16,Johnny, (somente para as afiliadas da Globo),
2017-03-17,O Fada Do Dente,(somente para as afiliadas da Globo),
2017-03-20,Coincidências Do Amor, (somente para as afiliadas da Globo),
2017-03-21,Noivas Em Guerra, (somente para as afiliadas da Globo),
2017-03-22,Falando Grego, (somente para as afiliadas da Globo),
2017-03-23,A Filha Do Chefe, (somente para as afiliadas da Globo),
2017-03-24,Compramos Um Zoológico, (somente para as afiliadas da Globo),
2017-03-27,Como Se Fosse A Primeira Vez, (somente para as afiliadas da Globo),
2017-03-28,Castelos De Gelo, (somente para as afiliadas da Globo),2010
2017-03-29,Programa De Proteção Para Princesas,,
2017-03-30,Amor Às Escuras, (somente para as afiliadas da Globo),
2017-03-31,O Mentiroso, (somente para as afiliadas da Globo),
2017-04-03,O Melhor Amigo Da Noiva,(somente para as afiliadas da Globo),
2017-04-04,Um Grande Garoto,(somente para as afiliadas da Globo),
2017-04-05,Mudança De Hábito 2: Mais Loucuras No Convento, (somente para as afiliadas da Globo),
2017-04-06,Sempre Ao Seu Lado, (somente para as afiliadas da Globo),
2017-04-07,Missão Quase Impossível,,
2017-04-10,Do Outro Lado Da Linha,(somente para as afiliadas da Globo),
2017-04-13,Homem-Aranha 2,,
2017-04-14,Epa! Cadê O Noé?,(inédito em TV aberta),
2017-04-17,A Herança De Mr. Deeds,(somente para as afiliadas da Globo),
2017-04-20,As Viagens De Gulliver,,
2017-04-21,Shrek 2,,
2017-04-24,A Estranha Vida De Timothy Green,(somente para as afiliadas da Globo),
2017-04-25,Recém-Casados, (somente para as afiliadas da Globo),
2017-04-26,Sorte No Amor,,
2017-04-27,Maluca Paixão, (somente para as afiliadas da Globo),
2017-04-28,Carros 2,,
2017-05-01,Hotel Transilvânia,,
2017-05-03,Mamãe: Operação Balada,(somente para as afiliadas da Globo),
2017-05-04,A Força De Um Sonho,(somente para as afiliadas da Globo),
2017-05-05,A Montanha Enfeitiçada,,2009
2017-05-08,Táxi,,2004
2017-05-09,Tá Todo Mundo Louco, (somente para as afiliadas da Globo),
2017-05-11,Redescobrindo O Amor, (somente para as afiliadas da Globo),
2017-05-12,Meninas Malvadas,,
2017-05-15,Sem Reservas,(inédito na Globo; ex-SBT),
2017-05-16,Livres Como O Vento,,
2017-05-17,Amizade Inesperada, (somente para as afiliadas da Globo),
2017-05-18,O Casamento Do Meu Melhor Amigo,(somente para as afiliadas da Globo),
2017-05-19,Três Ladrões E Um Bebê,,
2017-05-22,Uma Família Em Apuros, (somente para as afiliadas da Globo),
2017-05-23,Minha Mãe Quer Que Eu Case, (somente para as afiliadas da Globo),
2017-05-24,Tudo É Possível, (somente para as afiliadas da Globo),
2017-05-25,O Diário Da Princesa,,
2017-05-26,Motoqueiros Selvagens, (somente para as afiliadas da Globo),
2017-05-29,O Amor É Cego,,
2017-05-30,Além Da Sala De Aula,,
2017-05-31,Footloose: Ritmo Contagiante,(somente para as afiliadas da Globo),
2017-06-01,Em Meus Sonhos, (somente para as afiliadas da Globo),
2017-06-02,Sexta-Feira Muito Louca,(somente para as afiliadas da Globo),
2017-06-05,O Bicho Vai Pegar,,
2017-06-06,"Loucas Por Amor, Viciadas Em Dinheiro",(somente para as afiliadas da Globo),
2017-06-07,Resgate Abaixo De Zero, (somente para as afiliadas da Globo),
2017-06-08,A Feiticeira,(somente para as afiliadas da Globo),
2017-06-09,O Paizão, (somente para as afiliadas da Globo),
2017-06-12,O Diário De Uma Babá, (somente para as afiliadas da Globo),
2017-06-13,Pai Por Acaso,,
2017-06-14,Como Perder Um Homem Em 10 Dias, (somente para as afiliadas da Globo),
2017-06-15,Gato De Botas,,
2017-06-16,Quarteto Fantástico,,2005
2017-06-19,Treinando O Papai, (somente para as afiliadas da Globo),
2017-06-20,Superando O Passado,(somente para as afiliadas da Globo),
2017-06-21,Mudança De Hábito, (somente para as afiliadas da Globo),
2017-06-22,A Lenda De Longwood, (somente para as afiliadas da Globo),
2017-06-23,Uma Garota Encantada,,
2017-06-26,Todo Poderoso,(somente para as afiliadas da Globo),
2017-06-27,Quase Casadas, (somente para as afiliadas da Globo),
2017-06-28,Meu Pé De Laranja Lima, (somente para as afiliadas da Globo),2012
2017-06-29,Uma Aventura Animal, (somente para as afiliadas da Globo),2013
2017-06-30,Imagine Só,,
2017-07-03,Uma Noite No Museu,,
2017-07-05,O Bicho Vai Pegar 3,,
2017-07-10,Ratatouille,,
2017-07-11,Lagoa Azul: O Despertar,,
2017-07-12,Alvin E Os Esquilos 2,,
2017-07-13,Hanni &amp; Nanni 2,,
2017-07-14,Pequenos Espiões 4,,
2017-07-17,A Super Agente,,
2017-07-18,As Aventuras De Sharkboy E Lavagirl,,
2017-07-19,Lara Croft: Tomb Raider,,
2017-07-24,Viagem Ao Centro Da Terra: O Filme,"(inédito na Globo, ex-SBT)",
2017-07-25,Shrek Terceiro,,
2017-07-26,Quarteto Fantástico E O Surfista Prateado,,
2017-07-27,Madagascar,,
2017-07-28,Homem-Aranha,,2002
2017-07-31,As Férias Da Minha Vida,,
2017-08-01,Coração De Cavaleiro, (somente para as afiliadas da Globo),
2017-08-02,Uma Manhã Gloriosa,,
2017-08-03,O Auto Da Compadecida, (somente para as afiliadas da Globo),
2017-08-04,Super-Herói: O Filme,,
2017-08-09,Doze É Demais,,
2017-08-10,Aromas E Sensibilidade, (somente para as afiliadas da Globo),
2017-08-11,Os Caras De Pau Em O Misterioso Roubo Do Anel,(somente para as afiliadas da Globo),
2017-08-14,Vestida Para Casar,(somente para as afiliadas da Globo),
2017-08-15,Salvem Minha Filha!,,
2017-08-16,Uma Folga Para Mamãe,,
2017-08-17,Um Jardim Especial,(inédito em TV aberta),
2017-08-18,Se Eu Fosse Você 2, (somente para as afiliadas da Globo),
2017-08-21,Compramos Um Zoológico, (somente para as afiliadas da Globo),
2017-08-22,Doce Lar,(somente para as afiliadas da Globo),
2017-08-23,Um Tira No Jardim De Infância,,
2017-08-24,O Menino Da Porteira,,
2017-08-25,Um Faz De Conta Que Acontece,,
2017-08-28,Entrando Numa Fria Maior Ainda,(somente para as afiliadas da Globo),
2017-08-29,Vida Roubada,(somente para as afiliadas da Globo),
2017-08-30,Voando Alto,,
2017-08-31,A Grande Vitória,(somente para as afiliadas da Globo),
2017-09-01,Marley &amp; Eu,,
2017-09-04,A Filha Do Chefe,,
2017-09-05,O Amor De Um Pai, (somente para as afiliadas da Globo),
2017-09-06,Como Agarrar Meu Ex-Namorado,,
2017-09-07,Os Smurfs,,
2017-09-08,Diário De Um Banana 3: Dias De Cão,,
2017-09-11,Você Não Pode Beijar A Noiva, (somente para as afiliadas da Globo),
2017-09-12,As 7 Regras Do Amor,(somente para as afiliadas da Globo),
2017-09-13,Edward Mãos De Tesoura,(somente para as afiliadas da Globo),
2017-09-14,Na Trilha Da Fama,,
2017-09-15,Vovó...Zona 2, (somente para as afiliadas da Globo),
2017-09-18,A Fera,,
2017-09-19,Palavras Do Coração,(somente para as afiliadas da Globo),
2017-09-20,De Repente 30,,
2017-09-21,O Jogo Do Amor,(somente para as afiliadas da Globo),
2017-09-22,O Medalhão,(exceto para o RJ - RJTV Especial: Guerra na Rocinha),
2017-09-25,Cada Um Tem A Gêmea Que Merece,(exceto para o RJ - Supercapítulo de Senhora do Destino),
2017-09-26,Coincidências Do Amor,,
2017-09-27,Divino Processo, (somente para as afiliadas da Globo),
2017-09-28,O Amor Bate À Sua Porta,(somente para as afiliadas da Globo),
2017-09-29,Os Sem-Floresta,,
2017-10-02,Maluca Paixão,(somente para as afiliadas da Globo),
2017-10-03,De Repente Grávida, (somente para as afiliadas da Globo),
2017-10-04,"Corina, Uma Babá Perfeita",,
2017-10-05,Pare O Casamento!, (somente para as afiliadas da Globo),
2017-10-06,O Fada Do Dente,,
2017-10-09,As Mil Palavras,,
2017-10-10,Encantada,,
2017-10-11,Zathura: Uma Aventura Espacial,,
2017-10-12,Homem De Ferro,,2008
2017-10-13,Madagascar 2,,
2017-10-16,Jogada Certa, (somente para as afiliadas da Globo),
2017-10-17,Lição De Vida, (somente para as afiliadas da Globo),
2017-10-18,Doze É Demais 2,,
2017-10-19,Amor Plus Size, (somente para as afiliadas da Globo),
2017-10-20,O Diabo Veste Prada,(somente para as afiliadas da Globo),
2017-10-23,Licença Para Casar, (somente para as afiliadas da Globo),
2017-10-24,Mudança De Hábito 2: Mais Loucuras No Convento,,
2017-10-25,Querido John, (somente para as afiliadas da Globo),
2017-10-26,Revivendo O Amor,(somente para as afiliadas da Globo),
2017-10-27,Segurança De Shopping,(somente para as afiliadas da Globo),
2017-10-30,Táxi,(somente para as afiliadas da Globo),2004
2017-10-31,Um Presente Para Helen, (somente para as afiliadas da Globo),
2017-11-01,O Paizão,(somente para as afiliadas da Globo),
2017-11-02,Como Treinar O Seu Dragão,,
2017-11-03,Transformers: A Vingança Dos Derrotados,,
2017-11-06,Noivas Em Guerra,(somente para as afiliadas da Globo),
2017-11-07,2 Filhos De Francisco,(somente para as afiliadas da Globo),
2017-11-08,De Volta À Lagoa Azul,,
2017-11-09,Um Presente Para Toda Vida,,
2017-11-10,A Creche Do Papai,,
2017-11-13,Esposa De Mentirinha,(somente para as afiliadas da Globo),
2017-11-14,Mamãe Precisa Casar,(somente para as afiliadas da Globo),
2017-11-15,MIB: Homens De Preto 3,,
2017-11-16,Sem Reservas,,
2017-11-17,O Amor É Cego,(somente para as afiliadas da Globo),
2017-11-20,Monstros S.A.,,
2017-11-21,Uma Família Em Apuros, (inédito em TV aberta / somente para as afiliadas da Globo),
2017-11-22,O Diário Da Princesa,,
2017-11-23,Ensinando A Viver, (somente para as afiliadas da Globo),
2017-11-24,A Herança De Mr. Deeds, (somente para as afiliadas da Globo),
2017-11-27,Tá Todo Mundo Louco,,
2017-11-28,Decisões Extremas,(somente para as afiliadas da Globo / reclassificado para 12 anos / primeiro filme da sessão com o selo +12),
2017-11-29,Um Amor De Estimação,(inédito em TV aberta / somente para as afiliadas da Globo),
2017-11-30,O Namorado Da Minha Namorada,(somente para as afiliadas da Globo),
2017-12-01,Bater Ou Correr Em Londres,(somente para as afiliadas da Globo),
2017-12-04,Apenas Amigos, (somente para as afiliadas da Globo),
2017-12-05,A Guerra Dos Biscoitos,(inédito em TV aberta),
2017-12-06,A Vingança Das Damas de Honra, (somente para as afiliadas da Globo),
2017-12-07,O Anjo Mora Ao Lado,,
2017-12-08,Motoqueiros Selvagens,,
2017-12-11,Acampamento Do Papai,,
2017-12-13,Tá Dando Onda,,
2017-12-14,Quando Os Anjos Cantam,(inédito em TV aberta),
2017-12-15,As Crônicas De Nárnia: A Viagem Do Peregrino Da Alvorada,,
2017-12-18,Alvin E Os Esquilos 3,,
2017-12-19,Shrek 2,,
2017-12-20,A Nova Cinderela,,
2017-12-21,Carros 2,,
2017-12-22,Operação Presente,,
2017-12-25,Os Saltimbancos Trapalhões: Rumo a Hollywood,(inédito em TV aberta),
2017-12-26,Mara E O Senhor do Fogo,,
2017-12-27,Quarteto Fantástico E O Surfista Prateado,,
2017-12-28,A Origem Dos Guardiões,,
2017-12-29,As Aventuras De Tintim,,
2016-01-01,Gato De Botas,,
2016-01-04,Marmaduke,,
2016-01-05,A Super Agente,,
2016-01-06,Eragon,,
2016-01-07,A Nova Cinderela,,
2016-01-08,As Viagens De Gulliver,,
2016-01-11,Ela É O Cara,,
2016-01-12,O Fada Do Dente 2,,
2016-01-13,Outback: Uma Galera Animal,(inédito em TV aberta),
2016-01-14,Dragonball Evolution,,
2016-01-15,Pequenos Espiões 4,,
2016-01-18,Uma Noite No Museu 2,,
2016-01-19,A Gangue Zip Zap,(inédito em TV aberta),
2016-01-20,Força G,(somente para o RJ),
2016-01-21,Marte Precisa De Mães,(inédito em TV aberta),
2016-01-22,O Diário De Tati,,
2016-01-25,Carros,(somente para SP),
2016-01-26,O Pequeno Nicolau,,
2016-01-27,Caçadores De Dragões,,
2016-01-28,Skylar: A Garota Destemida,(inédito em TV aberta),
2016-01-29,Billy Stone E O Medalhão Mágico,,
2016-02-01,17 Outra Vez,,
2016-02-02,A Filha Do Presidente,,2004
2016-02-03,Férias Da Família Johnson,,
2016-02-04,Monte Carlo,,
2016-02-05,Super-Herói: O Filme,,
2016-02-08,Shrek Terceiro,,
2016-02-11,Mara E O Senhor Do Fogo,,
2016-02-12,Táxi,,2004
2016-02-15,À Procura Da Felicidade,,
2016-02-16,Encontro De Amor,,
2016-02-17,Caminhos Do Coração,(inédito em TV aberta),
2016-02-18,Maluca Paixão,,
2016-02-19,A Conselheira Amorosa,,
2016-02-22,Coincidências Do Amor,(reclassificado para 10 anos),
2016-02-23,Ghost: Do Outro Lado Da Vida,,
2016-02-24,E Se Fosse Verdade,,
2016-02-25,Ondas Da Vida,,
2016-02-26,Vestida Para Casar,,
2016-02-29,Esposa De Mentirinha,,
2016-03-01,Uma Manhã Gloriosa,(reclassificado para 10 anos),
2016-03-02,Querido John,,
2016-03-03,De Repente Grávida,,
2016-03-04,Mudança De Hábito 2: Mais Loucuras No Convento,,
2016-03-07,A Herança De Mr. Deeds,,
2016-03-08,Bebê De Outubro,,
2016-03-09,Um Namorado De Aluguel,,
2016-03-10,"Grande Menina, Pequena Mulher",,
2016-03-11,Noivas Em Guerra,,
2016-03-14,Namoro Virtual,,
2016-03-15,Se Eu Fosse Você,,
2016-03-17,O Amor Pede Passagem,,
2016-03-18,Acampamento Do Papai,,
2016-03-21,Família Por Acaso,,
2016-03-22,Recém-Chegada,,
2016-03-23,Recém Casados,,
2016-03-24,Uma Aventura Animal,(inédito em TV aberta),2013
2016-03-25,Lara Croft: Tomb Raider,,
2016-04-04,Você Não Pode Beijar A Noiva,,
2016-04-06,Quando Em Roma,,
2016-04-07,Como Perder Um Homem Em 10 Dias,,
2016-04-08,O Auto Da Compadecida,,
2016-04-11,Você De Novo,,
2016-04-12,O Homem Do Futuro,,
2016-04-14,"Meu Pai, Meu Herói",,
2016-04-15,O Terno De 2 Bilhões De Dólares,,
2016-04-18,O Jogo Do Amor,,
2016-04-19,Um Tira No Jardim De Infância,,
2016-04-20,Duas Vidas,,
2016-04-21,As Crônicas De Nárnia: A Viagem Do Peregrino Da Alvorada,,
2016-04-22,"Meu Nome É Taylor, Drillbit Taylor",,
2016-04-25,Querem Acabar Comigo,,
2016-04-28,Só A Verdade Cura,,
2016-04-29,Três Ladrões E Um Bebê,,
2016-05-02,Surpresa Em Dobro,,
2016-05-05,Uma Lição De Mãe,,
2016-05-06,A Filha Do Chefe,,
2016-05-09,"Loucas Por Amor, Viciadas Em Dinheiro",,
2016-05-10,Tio Papi,(inédito em TV aberta),
2016-05-11,Mentira Perfeita,,
2016-05-12,A Força De Um Sonho,,
2016-05-13,Operação Babá,,
2016-05-16,O Melhor Amigo Da Noiva,,
2016-05-17,Tudo É Possível,(inédito em TV aberta),
2016-05-19,Um Dia Especial,,
2016-05-20,Sorte No Amor,,
2016-05-23,Compramos Um Zoológico,,
2016-05-24,Footloose: Ritmo Contagiante,,
2016-05-25,Enquanto Você Dormia,,
2016-05-26,Marley &amp; Eu,,
2016-05-27,Quarteto Fantástico E O Surfista Prateado,,
2016-05-30,Falando Grego,,
2016-06-01,2 Filhos De Francisco,,
2016-06-02,A Família Da Noiva,,
2016-06-03,A Fera,,
2016-06-06,A Feiticeira,,
2016-06-07,Sempre Ao Seu Lado,,
2016-06-08,Um Beijo Inesquecível,(inédito em TV aberta),
2016-06-13,Um Grande Garoto,,
2016-06-14,O Namorado Da Minha Namorada,,
2016-06-15,Nunca Fui Beijada,,
2016-06-16,Brigada 49,,
2016-06-20,Do Outro Lado Da Linha,,
2016-06-21,Hitch: Conselheiro Amoroso,,
2016-06-22,As Férias Da Minha Vida,,
2016-06-23,A Creche Do Papai,,
2016-06-24,O Zelador Animal,,
2016-06-27,Cada Um Tem A Gêmea Que Merece,,
2016-06-28,Mudança De Hábito,,
2016-06-29,P.S. Eu Te Amo,,
2016-06-30,Uma Boa Ação,,
2016-07-01,Dança Comigo?,,
2016-07-04,As Crônicas De Spiderwick,,
2016-07-05,"Espelho, Espelho Meu",,
2016-07-08,Pequenos Espiões 2: A Ilha Dos Sonhos Perdidos,,
2016-07-11,Astro Boy,,
2016-07-12,Hanni &amp; Nanni 2,,
2016-07-13,Pequenos Invasores,,
2016-07-14,Ducobu 2,,
2016-07-15,Encantada,,
2016-07-18,Diário De Um Banana 2: Rodrick É O Cara,,
2016-07-19,Na Batida Do Coração,,
2016-07-20,O Diário Da Princesa,,
2016-07-21,Karatê Kid 4: A Nova Aventura,,
2016-07-22,Super Escola De Heróis,,
2016-07-25,Na Trilha Da Fama,,
2016-07-26,Garoto-Formiga,,
2016-07-27,Castelos De Gelo,,
2016-07-28,Inimigos De Infância,,
2016-07-29,Madagascar 2,,
2016-08-01,Vitórias De Uma Vida,(somente para as afiliadas da Globo / estreia da Sessão da Tarde alternativa),
2016-08-02,Gol!,(somente para as afiliadas da Globo),
2016-08-22,A Estranha Vida De Timothy Green,(inédito em TV aberta),
2016-08-23,Vovó...Zona 2,(somente para as afiliadas da Globo),
2016-08-24,Amizade Inesperada,(inédito em TV aberta / somente para as afiliadas da Globo),
2016-08-25,Voando Alto,(somente para as afiliadas da Globo),
2016-08-26,Monstros VS Alienígenas,,
2016-08-29,O Fada Do Dente,(somente para as afiliadas da Globo),
2016-08-30,Correio Do Amor,(somente para as afiliadas da Globo),
2016-08-31,"Flashdance, Em Ritmo De Embalo",,
2016-09-01,Flores De Aço,,2012
2016-09-02,Alvin E Os Esquilos 3,,
2016-09-05,Encontro De Amor,(somente para as afiliadas da Globo),
2016-09-06,Além Da Sala De Aula,(somente para as afiliadas da Globo),
2016-09-07,Quarteto Fantástico,,2005
2016-09-08,Doce Lar,(somente para as afiliadas da Globo),
2016-09-09,Se Eu Fosse Você 2,(somente para as afiliadas da Globo),
2016-09-12,O Diário De Tati,(somente para as afiliadas da Globo),
2016-09-13,O Sentido Do Amor,(somente para as afiliadas da Globo),
2016-09-14,Minha Mãe Quer Que Eu Case,(somente para as afiliadas da Globo),
2016-09-15,Lições Para Toda A Vida,(somente para as afiliadas da Globo),
2016-09-16,As Viagens De Gulliver,,
2016-09-26,Noivas Em Guerra,(somente para as afiliadas da Globo),
2016-09-27,Jogo Da Vida,(somente para as afiliadas da Globo),
2016-09-28,Como Agarrar Meu Ex-Namorado,(somente para as afiliadas da Globo),
2016-09-29,Meninas Malvadas,(somente para as afiliadas da Globo),
2016-09-30,Esposa De Mentirinha,(somente para as afiliadas da Globo),
2016-10-03,Um Bom Partido,(somente para as afiliadas da Globo),
2016-10-04,O Menino da Porteira,(somente para as afiliadas da Globo),
2016-10-05,A Herança de Mr. Deeds,(somente para as afiliadas da Globo),
2016-10-06,Tudo Que Uma Garota Quer,(somente para as afiliadas da Globo),
2016-10-07,Uma Família em Apuros,(somente para as afiliadas da Globo),
2016-10-10,Recém-Casados,,
2016-10-11,Táxi,,
2016-10-12,Gato de Botas,,
2016-10-13,Maluca Paixão,,
2016-10-14,Tá Todo Mundo Louco,,
2016-10-17,O Amor é Cego,,
2016-10-18,A Super Agente,,
2016-10-19,Loucuras na Idade Média,,
2016-10-20,Direito de Mãe,,
2016-10-21,Sexta-Feira Muito Louca,,
2016-10-24,O Diário de Uma Babá,,
2016-10-25,Virada Radical,,
2016-10-26,"Seis Dias, Sete Noites",,
2016-10-27,Como Não Esquecer Essa Garota,,
2016-10-28,"Vovó...Zona 3: Tal Pai, Tal Filho",,
2016-10-31,A Feiticeira,(somente para as afiliadas da Globo),2005
2016-11-01,Um Amor Verdadeiro,(inédito em TV aberta),2014
2016-11-02,Madagascar 3: Os Procurados,,
2016-11-03,Imagine Só,(somente para as afiliadas da Globo),
2016-11-04,Vencendo Desafios,,
2016-11-07,Você De Novo,,
2016-11-08,"Loucas Por Amor, Viciadas Em Dinheiro",(somente para as afiliadas da Globo),
2016-11-10,Resgate Abaixo De Zero,(somente para as afiliadas da Globo),
2016-11-11,"Grande Menina, Pequena Mulher",(somente para as afiliadas da Globo),
2016-11-14,Volta Ao Mundo Em 80 Dias: Uma Aposta Muito Louca,,
2016-11-15,Ratatouille,,
2016-11-16,Corina: Uma Babá Perfeita,(somente para as afiliadas da Globo),
2016-11-17,Soul Surfer: Coragem De Viver,(somente para as afiliadas da Globo),
2016-11-18,Super-Herói: O Filme,(somente para as afiliadas da Globo),
2016-11-21,Um Amor De Estimação,(somente para as afiliadas da Globo),
2016-11-22,Duas Vidas,(inédito em TV aberta / somente para as afiliadas da Globo),
2016-11-23,Uma Folga Pra Mamãe,(somente para as afiliadas da Globo),
2016-11-24,A Inveja Mata,(somente para as afiliadas da Globo),
2016-11-25,O Auto Da Compadecida,(somente para as afiliadas da Globo),
2016-11-28,A Filha Do Presidente,(somente para as afiliadas da Globo),
2016-11-29,Querido John,,
2016-11-30,À Prova De Fogo,(somente para as afiliadas da Globo),
2016-12-01,Amor Plus Size,(somente para as afiliadas da Globo),
2016-12-02,Todo Poderoso,,
2016-12-05,Monte Carlo,(somente para as afiliadas da Globo),
2016-12-06,Ondas Da Vida,(somente para as afiliadas da Globo),
2016-12-07,Coração De Cavaleiro,(somente para as afiliadas da Globo),
2016-12-08,Uma Irmã Na Minha Vida,(somente para as afiliadas da Globo),
2016-12-09,Uma Noite No Museu,(somente para as afiliadas da Globo),
2016-12-12,Uma Manhã Gloriosa,(somente para as afiliadas da Globo),
2016-12-13,Um Tira No Jardim De Infância,(somente para as afiliadas da Globo),
2016-12-14,A Vingança Das Damas De Honra,(somente para as afiliadas da Globo),
2016-12-15,"Meu Pai, Meu Herói",(somente para as afiliadas da Globo),
2016-12-16,Os Smurfs,,
2016-12-19,Polo Norte,(inédito em TV aberta),
