date,title,comments,release_year
2022-06-30,Bem-Vindo à Vida,,
2022-07-01,Uma Família em Apuros,,
2022-07-04,A Pantera Cor-de-Rosa 2,,
2022-07-05,Turma da Mónica: Laços,,
2022-07-06,Nossa Vida com Cães,,
2022-07-07,Os Estagiários,,
2022-07-08,Kung Fu Panda 3,,
2022-07-11,Procurando Nemo,,
2022-07-12,Um Presente Para Helen,,
2022-07-13,Férias da Família Johnson,,
2022-07-14,Mamãe Saiu de Férias,,
2022-07-15,Megamente,,
2022-07-18,Miss Simpatia 2: Armada e Poderosa,(início da temporada da Sessão da Tarde de Férias),
2022-07-19,O Pequeno Príncipe,,2015
2022-07-20,A Fabulosa Gilly Hopkins,,
2022-07-21,A Nova Cinderela,,
2022-07-22,Rio 2,(término da temporada da Sessão da Tarde de Férias),
2022-07-25,Sem Reservas,,
2022-07-26,Christopher Robin: Um Reencontro Inesquecível,(inédito em TV aberta),
2022-07-27,As Férias da Minha Vida,,
2022-07-28,"Nossa União, Muita Confusão",,
2022-07-29,Shrek 2,"(exibição às 16h, após Espiadinha Globoplay)",
2022-08-01,Pixels,,
2022-08-02,A Última Música,,
2022-08-03,Paixão de Aluguel,,
2022-08-04,Pegando Fogo,,
2022-08-05,Uma Dobra no Tempo,,
2022-08-08,Meu Malvado Favorito 2,(inédito na TV Globo; ex-RecordTV),
2022-08-09,Sob o Sol de Toscana,,
2022-08-10,A Sogra,,
2022-08-11,Questão de Tempo,,
2022-08-12,"Meu Pai, Meu Herói",,
2022-08-15,O Sétimo Filho,,
2022-08-16,Quase Lendas,(inédito em TV Aberta),
2022-08-17,Ratatouille,,
2022-08-18,A Vingança das Damas de Honra,,
2022-08-19,Simplesmente Complicado,,
2022-08-22,Malasartes e o Duelo com a Morte,,
2022-08-23,A Minha Garota Para Sempre,(inédito em TV Aberta),
2022-08-24,Insubstituível,,
2022-08-25,Os Incríveis,,
2022-08-26,"Fala Sério, Mãe!",,
2022-08-29,Acampamento do Papai,,
2022-08-30,Uma Razão Para Recomeçar,,
2022-08-31,Muito Bem Acompanhada,,
2022-09-01,O Medalhão,,
2022-09-02,É Fada,(reclassificado para 12 anos),
2022-09-05,Trolls,,
2022-09-06,Ensinando a Viver,,
2022-09-07,R.I.P.D: Agentes do Além,,
2022-09-08,"Ela Disse, Ele Disse",(exibição às 16h),2019
2022-09-09,Viagem Ao Centro Da Terra: O Filme,,
2022-09-12,Gente Grande,,
2022-09-13,Madagascar 3: Os Procurados,,
2022-09-14,O Que Esperar Quando Você Está Esperando,,
2022-09-15,Tudo Que Quero,,
2022-09-16,Sai de Baixo: O Filme,,
2022-09-19,O Bicho Vai Pegar 4,,
2022-09-20,As Mil Palavras,,
2022-09-21,O Falcão Manteiga de Amendoim,,
2022-09-22,Linda de Morrer,,
2022-09-26,Falando Grego,,
2022-09-28,Quando em Roma,,
2022-09-29,Crô em Família,,
2022-09-30,Click,(término da exibição após O Cravo e a Rosa),
2022-10-03,O Diabo Veste Prada,(início da exibição após Chocolate com Pimenta),
2022-10-04,Quatro Vidas de um Cachorro,,
2022-10-05,Sim Senhor,,
2022-10-06,Onde Nasce a Esperança,,
2022-10-07,A Hora do Rush 2,,
2022-10-10,Nanny McPhee e as Lições Mágicas,,
2022-10-11,Max: O Cão Herói,(inédito em TV aberta),
2022-10-12,Os Smurfs,,2011
2022-10-13,Uma Amizade Inesperada,,
2022-10-14,Bilhete de Loteria,,
2022-10-17,A Volta do Todo Poderoso,,
2022-10-18,Um Amor à Altura,,
2022-10-19,De Repente Pai,,
2022-10-20,Uma Aventura e Tanto,,
2022-10-21,Como Se Fosse a Primeira Vez,,
2022-10-24,Os Delírios de Consumo de Becky Bloom,,
2022-10-25,Que Haja Luz,,
2022-10-26,O Melhor Amigo da Noiva,,
2022-10-27,A Morte e Vida de Charlie,,
2022-10-28,Shrek,(retorno à TV Globo; ex-Band e SBT),
2022-10-31,Uma Noite no Museu,,
2022-11-01,O Sol Também é uma Estrela,(inédito em TV aberta),
2022-11-02,Kung Fu Panda 2,,
2022-11-03,Snowden: Herói ou Traidor,,
2022-11-04,O Bom Filho à Casa Torna,,
2022-11-07,Jornada da Vida,(inédito em TV aberta),
2022-11-08,De Repente 30,,
2022-11-09,Uma Questão de Fé,,
2022-11-10,Depois da Terra,,
2022-11-14,Bem-Vindo Doutor,(inédito em TV aberta),
2022-11-16,A Luta Por um Ideal,,2012
2022-11-17,Encantada,,
2022-11-18,Correndo Atrás,(inédito em TV aberta / pausa temporária da sessão),2018
2022-12-07,Patrick,,
2022-12-08,Um Santo Vizinho,,
2022-12-12,Megan Leavey,(exibição às 16h),
2022-12-15,Need For Speed: O Filme,(retorno da exibição regular / término da pausa temporária),
2022-12-16,O Futebol Ou Eu,(inédito em TV aberta),
2022-12-19,A Era do Gelo: O Big Bang,,
2022-12-20,Tudo em Família,,
2022-12-21,O Bom Doutor,(inédito em TV aberta / exceto para SP - Campeonato Paulista de Futebol Feminino: Palmeiras x Santos),2019
2022-12-22,Surpresas do Amor,,
2022-12-23,Um Natal Quase Perfeito,(inédito em TV aberta / exceto para as afiliadas do Nordeste - Especial 110 Anos Gonzaga),
2022-12-26,PéPequeno,,
2022-12-27,Nossa Vida com Cães,,
2022-12-28,Idas e Vindas do Amor,,
2022-12-29,Jumper,"(exibição interrompida devido a cobertura da morte do Rei Pelé, intitulada Rei 10 Eterno)",
2022-12-30,Noite de Ano Novo,,
2021-01-01,Percy Jackson e o Ladrão de Raios,,
2021-01-04,Pai em Dose Dupla,,
2021-01-05,Turma da Mônica: Laços,(inédito em TV aberta),
2021-01-06,Hotel Transilvânia 2,,
2021-01-07,O Diário da Princesa,,
2021-01-08,Stardust: O Mistério da Estrela,,
2021-01-11,Férias da Família Johnson,,
2021-01-12,Os Pinguins do Papai,,
2021-01-13,Shrek 2,,
2021-01-14,Sonhos de Papel,,
2021-01-15,Miss Simpatia,,
2021-01-18,Enrolados,,
2021-01-19,Super Escola de Heróis,,
2021-01-20,Rio 2,,
2021-01-21,Virada Radical,,
2021-01-22,As Viagens de Gulliver,,
2021-01-25,Operação Big Hero,,
2021-01-26,Nanny McPhee e as Lições Mágicas,,
2021-01-27,Jogador Nº 1,,
2021-01-28,Gente Grande 2,,
2021-01-29,Os Smurfs 2,,
2021-02-01,Tudo Por um Popstar,,
2021-02-02,Megamente,,
2021-02-03,MIB: Homens de Preto 2,,
2021-02-04,Cegonhas: A História Que Não Te Contaram,,
2021-02-05,Bater ou Correr,,
2021-02-08,Monstros Vs. Alienígenas,,
2021-02-09,É Fada,(inédito em TV Aberta),
2021-02-10,Fora do Rumo,,
2021-02-11,Patrick,(inédito em TV aberta),
2021-02-12,Tá Chovendo Hambúrguer 2,,
2021-02-15,Procurando Nemo,,
2021-02-16,As Férias do Pequeno Nicolau,,
2021-02-17,Alice Através do Espelho,(exceto para GO - Vale a Pena Ver de Novo e transmissão do Campeonato Goiano: Atlético-GO x Aparecidense),2016
2021-02-18,Um Tira no Jardim de Infância 2,,
2021-02-19,Casamento Grego 2,,
2021-02-22,Incontrolável,,
2021-02-23,Amor ao Acaso,(inédito em TV aberta),
2021-02-24,Um Senhor Estagiário,,
2021-02-25,Quarteto Fantástico,,2005
2021-02-26,Muito Bem Acompanhada,(inédito na Globo; ex-Band),
2021-03-01,Quatro Vidas de um Cachorro,,
2021-03-02,Em Meus Sonhos,,
2021-03-03,"Dois é Bom, Três é Demais",,
2021-03-04,O Túnel,,2016
2021-03-05,Jogo de Amor em Las Vegas,,
2021-03-08,Joy: O Nome do Sucesso,,
2021-03-09,Roubo nas Alturas,,
2021-03-10,Romeu e Julieta,(inédito em TV aberta),2013
2021-03-11,Sem Reservas,,
2021-03-12,Amor ao Primeiro Filho,,
2021-03-15,Uma Prova de Amor,,
2021-03-16,Portal dos Guerreiros,(inédito em TV aberta),
2021-03-17,Megan Leavey,(inédito em TV aberta),
2021-03-18,"Corina, uma Babá Perfeita",,
2021-03-19,Encontro de Casais,,
2021-03-22,O Melhor Amigo da Noiva,,
2021-03-23,A Última Palavra,(inédito em TV aberta),2017
2021-03-24,Hitch: Conselheiro Amoroso,,
2021-03-25,O Último Mestre do Ar,,
2021-03-26,Arthur: O Milionário Irresistível,(inédito na Globo; ex-SBT),
2021-03-29,O Que Esperar Quando Você Está Esperando,,
2021-03-30,A Fabulosa Gilly Hopkins,(inédito em TV aberta),
2021-03-31,O Dilema,,
2021-04-01,A Ressurreição de Gavin Stone,(inédito em TV aberta),
2021-04-02,Shrek Para Sempre,,
2021-04-05,Vovó... Zona 2,"(em novo horário, após o Plantão BBB)",
2021-04-06,Um Bom Partido,,
2021-04-07,Táxi,,2004
2021-04-08,Onde Nasce a Esperança,,
2021-04-09,Lara Croft: Tomb Raider - A Origem da Vida,(reclassificado para 12 anos),
2021-04-12,Intocáveis,(somente para o ES),
2021-04-13,Licença Para Casar,,
2021-04-14,Mãos Talentosas: A História de Ben Carson,,
2021-04-15,Uma Manhã Gloriosa,,
2021-04-16,Bater ou Correr em Londres,,
2021-04-19,Sully: O Herói do Rio Hudson,,
2021-04-20,Brooklin: Um Amor Sem Fronteiras,(inédito em TV aberta),
2021-04-21,Toy Story 3,,
2021-04-22,Jurassic Park: Parque dos Dinossauros,(reclassificado para 12 anos),
2021-04-23,A Teoria de Tudo,,
2021-04-26,Crô em Família,,
2021-04-27,A Feiticeira,,2005
2021-04-28,Beleza Oculta,,
2021-04-29,A Sogra,,
2021-04-30,O Aprendiz de Feiticeiro,,
2021-05-03,O Medalhão,,
2021-05-04,"Loucas Por Amor, Viciadas em Dinheiro",(término da exibição após o Plantão BBB),
2021-05-05,X-Men: Primeira Classe,(retorno da exibição após o Jornal Hoje),
2021-05-06,Tá Chovendo Hambúrger,,
2021-05-07,Linda de Morrer,,
2021-05-10,Paixão de Aluguel,,
2021-05-11,O Impossível,"(exceto para SP, PR, ES, TO, MT, BA, SE, AL, PB, RN, CE, PI, MA, PA, AM, RO, AC, RR, AP, DF e Resende-RJ - Vale a Pena Ver de Novo e transmissão do Campeonato Paulista: Corinthians x Inter de Limeira)",
2021-05-12,Meu Namorado é o Bicho,,
2021-05-13,Idas e Vindas do Amor,,
2021-05-14,Viagem ao Centro da Terra: O Filme,,
2021-05-17,Invictus,(inédito na Globo; ex-SBT),
2021-05-18,A Vingança das Damas de Honra,,
2021-05-19,Encontro de Amor,,
2021-05-20,Um Homem de Família,,2016
2021-05-21,Entrando Numa Fria Maior Ainda,,
2021-05-24,Noites de Tormenta,,
2021-05-25,Lanterna Verde,(reclassificado para 14 anos),
2021-05-26,Fazenda dos Cisnes,(exceto para SC - Vale a Pena Ver de Novo e transmissão da final do Campeonato Catarinense: Chapecoense x Avaí),
2021-05-27,O Amor Dá Trabalho,(inédito em TV aberta),
2021-05-28,Resgate Abaixo de Zero,,
2021-05-31,A Morte e Vida de Charlie,(inédito em TV aberta),
2021-06-01,Pare o Casamento!,,
2021-06-02,Uma Amizade Inesperada,,
2021-06-03,Depois da Terra,,
2021-06-04,Maria do Caritó,(inédito em TV aberta),
2021-06-07,Uma Boa Ação,,
2021-06-09,Diário de uma Paixão,,
2021-06-10,Simplesmente Complicado,,
2021-06-15,De Repente Grávida,,
2021-06-16,Querido John,,
2021-06-17,Evereste,,
2021-06-18,Tudo Que Quero,(inédito em TV aberta),
2021-06-21,Decisões Extremas,,
2021-06-22,Um Amor Verdadeiro,,
2021-06-23,A Corrente do Bem,,
2021-06-24,O Shaolin do Sertão,,
2021-06-25,Bilhete de Loteria,,
2021-06-28,Coincidências do Amor,,
2021-06-29,Um Presente Para Helen,,
2021-06-30,Mamãe Saiu de Férias,(inédito em TV aberta),
2021-07-01,Os Goonies,(retorno à Globo; ex-SBT),
2021-07-05,Toy Story 2,,
2021-07-07,Sai de Baixo: O Filme,,
2021-07-08,Matilda,,
2021-07-09,Príncipe da Pérsia: As Areias do Tempo,,
2021-07-12,Malasartes e o Duelo com a Morte,(reclassificado para 12 anos),
2021-07-13,Segurança de Shopping 2,,
2021-07-14,Meu Monstro de Estimação,,
2021-07-16,Como Treinar o Seu Dragão,,
2021-07-19,O Sétimo Filho,,
2021-07-20,Encantada,,
2021-07-21,Uma Razão Para Vencer,(inédito em TV aberta),
2021-07-22,Space Jam: O Jogo do Século,,
2021-07-23,Vitórias de uma Vida,,
2021-07-26,Kung Fu Panda 2,,
2021-07-27,Uma Aventura e Tanto,(inedito em TV aberta),
2021-07-28,Um Tio Quase Perfeito,,
2021-07-29,Gremlins,(retorno à Globo; ex-SBT),
2021-07-30,O Terno de Dois Bilhões de Dólares,,
2021-08-02,Duas de Mim,,
2021-08-03,Castelos de Gelo,,2010
2021-08-04,Como Se Fosse a Primeira Vez,,
2021-08-05,Karatê Kid II: A Hora da Verdade Continua,,
2021-08-06,De Repente Pai,,
2021-08-09,Te Amarei para Sempre,,
2021-08-10,MIB: Homens de Preto 3,,
2021-08-11,A Culpa é das Estrelas,,
2021-08-12,A Máscara do Zorro,(reclassificado para 12 anos),
2021-08-13,Coração de Tinta: O Livro Mágico,(inédito na Globo; ex-SBT),
2021-08-16,O Que de Verdade Importa,,
2021-08-17,O Amor Não Tira Férias,,
2021-08-18,Somos Todos Iguais,,
2021-08-19,Sob o Mesmo Céu,,
2021-08-20,Sonhos de Papel,"(Exibição às 16h, após Copa do Mundo de Futebol de Areia: Brasil x Suiça)",
2021-08-23,Shrek 2,,
2021-08-24,As Loucuras de Dick e Jane,"(Exibição às 15h30, após Copa do Mundo de Futebol de Areia: Brasil x Belarus)",2005
2021-08-25,Stardust: O Mistério da Estrela,,
2021-08-26,Um Amor de Vizinha,,
2021-08-27,Plano B,,2010
2021-08-30,Miss Simpatia,,
2021-08-31,À Prova de Fogo,,
2021-09-01,Um Amor à Altura,,
2021-09-02,Bem-Vindo à Vida,,
2021-09-03,À Procura do Amor,,
2021-09-06,Nossa Vida com Cães,(inédito em TV aberta),
2021-09-07,Cegonhas: A História Que Não Te Contaram,,
2021-09-08,Os Estagiários,,
2021-09-09,O Que Te Faz Mais Forte,,
2021-09-10,Cine Holliúdy 2: A Chibata Sideral,,
2021-09-13,Um Tira no Jardim de Infância 2,"(Exibição às 15h30, após Copa do Mundo de Futsal: Brasil x Vietnã)",
2021-09-14,Joy: O Nome do Sucesso,,
2021-09-15,Como Não Esquecer Essa Garota,,
2021-09-16,Roubo nas Alturas,"(Exibição às 15h30, após Copa do Mundo de Futsal: Brasil x República Tcheca)",
2021-09-17,A Seleção,(inédito em TV aberta),
2021-09-21,Agente 86,,
2021-09-22,O Livro do Amor,(inédito em TV aberta),
2021-09-23,Sim Senhor,(inédito na Globo; ex-SBT / Exibição às 15:45 após Copa do Mundo de Futsal: Brasil x Japão),
2021-09-24,Alice Através do Espelho,,
2021-09-27,Um Senhor Estagiário,,
2021-09-28,O Túnel,,
2021-09-29,Portal dos Guerreiros,(Exibição às 15:45 após Copa do Mundo de Futsal: Brasil x Argentina),
2021-09-30,Divórcio,(inédito em TV aberta),
2021-10-01,Somos Marshall,(inédito na Globo; ex-SBT),
2021-10-04,As Branquelas,,
2021-10-05,Cartas Para Deus,,
2021-10-06,Meninas Malvadas,,
2021-10-07,Megan Leavey,,
